Product,Size,Connectivity,Storage,Color,Glass,ApplePartNumber,JAN
iPad Air (M3),"11""",Wi‑Fi,256GB,ブルー,,MCA34J/A,4549995555288
iPad Air (M3),"11""",Wi‑Fi,256GB,スターライト,,MCA44J/A,4549995555295
iPad Air (M3),"11""",Wi‑Fi,256GB,パープル,,MCA64J/A,4549995555301
iPad Air (M3),"11""",Wi‑Fi,512GB,スペースグレイ,,MCA74J/A,4549995555318
iPad Air (M3),"11""",Wi‑Fi,512GB,ブルー,,MCA94J/A,4549995555325
iPad Air (M3),"11""",Wi‑Fi,512GB,スターライト,,MCAA4J/A,4549995555332
iPad Air (M3),"11""",Wi‑Fi,512GB,パープル,,MCAE4J/A,4549995555349
iPad Air (M3),"11""",Wi‑Fi,1TB,スペースグレイ,,MCAH4J/A,4549995555356
iPad Air (M3),"11""",Wi‑Fi,1TB,ブルー,,MCAJ4J/A,4549995555363
iPad Air (M3),"11""",Wi‑Fi,1TB,スターライト,,MCAQ4J/A,4549995555370
iPad Air (M3),"11""",Wi‑Fi,1TB,パープル,,MCAU4J/A,4549995555387
iPad Air (M3),"11""",Wi‑Fi + Cellular,128GB,スペースグレイ,,MCFV4J/A,4549995555752
iPad Air (M3),"11""",Wi‑Fi + Cellular,128GB,ブルー,,MCFW4J/A,4549995555769
iPad Air (M3),"11""",Wi‑Fi + Cellular,128GB,スターライト,,MCFX4J/A,4549995555776
iPad Air (M3),"11""",Wi‑Fi + Cellular,128GB,パープル,,MCFY4J/A,4549995555783
iPad Air (M3),"11""",Wi‑Fi + Cellular,256GB,スペースグレイ,,MCG04J/A,4549995555790
iPad Air (M3),"11""",Wi‑Fi + Cellular,256GB,ブルー,,MCG14J/A,4549995555806
iPad Air (M3),"11""",Wi‑Fi + Cellular,256GB,スターライト,,MCG24J/A,4549995555813
iPad Air (M3),"11""",Wi‑Fi + Cellular,256GB,パープル,,MCG34J/A,4549995555820
iPad Air (M3),"11""",Wi‑Fi + Cellular,512GB,スペースグレイ,,MCG44J/A,4549995555837
iPad Air (M3),"11""",Wi‑Fi + Cellular,512GB,ブルー,,MCG54J/A,4549995555844
iPad Air (M3),"11""",Wi‑Fi + Cellular,512GB,スターライト,,MCG64J/A,4549995555851
iPad Air (M3),"11""",Wi‑Fi + Cellular,512GB,パープル,,MCG74J/A,4549995555868
iPad Air (M3),"11""",Wi‑Fi + Cellular,1TB,スペースグレイ,,MCG84J/A,4549995555875
iPad Air (M3),"11""",Wi‑Fi + Cellular,1TB,ブルー,,MCG94J/A,4549995555882
iPad Air (M3),"11""",Wi‑Fi + Cellular,1TB,スターライト,,MCGA4J/A,4549995555899
iPad Air (M3),"11""",Wi‑Fi + Cellular,1TB,パープル,,MCGC4J/A,4549995555905
iPad Air (M3),"13""",Wi‑Fi,128GB,スペースグレイ,,MCNH4J/A,4549995556315
iPad Air (M3),"13""",Wi‑Fi,128GB,ブルー,,MCNJ4J/A,4549995556322
iPad Air (M3),"13""",Wi‑Fi,128GB,スターライト,,MCNK4J/A,4549995556339
iPad Air (M3),"13""",Wi‑Fi,128GB,パープル,,MCNL4J/A,4549995556346
iPad Air (M3),"13""",Wi‑Fi,256GB,スペースグレイ,,MCNN4J/A,4549995556353
iPad Air (M3),"13""",Wi‑Fi,256GB,ブルー,,MCNP4J/A,4549995556360
iPad Air (M3),"13""",Wi‑Fi,256GB,スターライト,,MCNQ4J/A,4549995556377
iPad Air (M3),"13""",Wi‑Fi,256GB,パープル,,MCNR4J/A,4549995556384
iPad Air (M3),"13""",Wi‑Fi,512GB,スペースグレイ,,MCNT4J/A,4549995556391
iPad Air (M3),"13""",Wi‑Fi,512GB,ブルー,,MCNW4J/A,4549995556407
iPad Air (M3),"13""",Wi‑Fi,512GB,スターライト,,MCNX4J/A,4549995556414
iPad Air (M3),"13""",Wi‑Fi,512GB,パープル,,MCNY4J/A,4549995556421
iPad Air (M3),"13""",Wi‑Fi,1TB,スペースグレイ,,MCQ04J/A,4549995556438
iPad Air (M3),"13""",Wi‑Fi,1TB,ブルー,,MCQ14J/A,4549995556445
iPad Air (M3),"13""",Wi‑Fi,1TB,スターライト,,MCQ24J/A,4549995556452
iPad Air (M3),"13""",Wi‑Fi,1TB,パープル,,MCQ34J/A,4549995556469
iPad Air (M3),"13""",Wi‑Fi + Cellular,128GB,スペースグレイ,,MCJ14J/A,4549995556834
iPad Air (M3),"13""",Wi‑Fi + Cellular,128GB,ブルー,,MCJ24J/A,4549995556841
iPad Air (M3),"13""",Wi‑Fi + Cellular,128GB,スターライト,,MCJ34J/A,4549995556858
iPad Air (M3),"13""",Wi‑Fi + Cellular,128GB,パープル,,MCJ44J/A,4549995556865
iPad Air (M3),"13""",Wi‑Fi + Cellular,256GB,スペースグレイ,,MCJ54J/A,4549995556872
iPad Air (M3),"13""",Wi‑Fi + Cellular,256GB,ブルー,,MCJ64J/A,4549995556889
iPad Air (M3),"13""",Wi‑Fi + Cellular,256GB,スターライト,,MCJ74J/A,4549995556896
iPad Air (M3),"13""",Wi‑Fi + Cellular,256GB,パープル,,MCJ84J/A,4549995556902
iPad Air (M3),"13""",Wi‑Fi + Cellular,512GB,スペースグレイ,,MCJ94J/A,4549995556919
iPad Air (M3),"13""",Wi‑Fi + Cellular,512GB,ブルー,,MCJA4J/A,4549995556926
iPad Air (M3),"13""",Wi‑Fi + Cellular,512GB,スターライト,,MCJC4J/A,4549995556933
iPad Air (M3),"13""",Wi‑Fi + Cellular,512GB,パープル,,MCJD4J/A,4549995556940
iPad Air (M3),"13""",Wi‑Fi + Cellular,1TB,スペースグレイ,,MCJE4J/A,4549995556957
iPad Air (M3),"13""",Wi‑Fi + Cellular,1TB,ブルー,,MCJF4J/A,4549995556964
iPad Air (M3),"13""",Wi‑Fi + Cellular,1TB,スターライト,,MCJG4J/A,4549995556971
iPad Air (M3),"13""",Wi‑Fi + Cellular,1TB,パープル,,MCJH4J/A,4549995556988
iPad Pro (M5),"11""",Wi‑Fi,256GB,スペースブラック,標準ガラス,MDWK4J/A,4549995616606
iPad Pro (M5),"11""",Wi‑Fi,256GB,シルバー,標準ガラス,MDWL4J/A,4549995616613
iPad Pro (M5),"11""",Wi‑Fi,512GB,スペースブラック,標準ガラス,MDWM4J/A,4549995616620
iPad Pro (M5),"11""",Wi‑Fi,512GB,シルバー,標準ガラス,MDWN4J/A,4549995616637
iPad Pro (M5),"11""",Wi‑Fi,1TB,スペースブラック,標準ガラス,MDWP4J/A,4549995616644
iPad Pro (M5),"11""",Wi‑Fi,1TB,シルバー,標準ガラス,MDWQ4J/A,4549995616651
iPad Pro (M5),"11""",Wi‑Fi,2TB,スペースブラック,標準ガラス,MDWU4J/A,4549995616682
iPad Pro (M5),"11""",Wi‑Fi,2TB,シルバー,標準ガラス,MDWV4J/A,4549995616699
iPad Pro (M5),"11""",Wi‑Fi,1TB,スペースブラック,Nano-textureガラス,MDWR4J/A,4549995616668
iPad Pro (M5),"11""",Wi‑Fi,1TB,シルバー,Nano-textureガラス,MDWT4J/A,4549995616675
iPad Pro (M5),"11""",Wi‑Fi,2TB,スペースブラック,Nano-textureガラス,MDWW4J/A,4549995616705
